puzzle_id,fen,key_moves,mate_in,rating,solution
7dbrI,1n4k1/p4rpp/1p1pR3/1Bp5/8/1P6/K1P2PPq/3R4 w - - 1 22,e6e8,4,1397,e6e8 f7f8 b5c4 d6d5 c4d5 g8h8 e8f8
qdmIs,1r5k/4Prpp/8/p2N4/2P1Q3/5P2/q5PP/5K2 w - - 0 33,e7e8q,4,1916,e7e8q f7f8 e4h7 h8h7 e8h5 h7g8 d5e7
FCU8l,rr4k1/4bppn/3pp1Pp/3q3P/b2N1P2/3BB3/PP1Q3R/1KR5 b - - 0 27,d5a2,4,1859,d5a2 b1a2 a4c2 d3a6 a8a6 d2a5 a6a5
133FO,8/pb3k2/1pq2n2/5Q2/3P1b2/3BrP2/PPP4P/5RRK b - - 8 29,c6f3,4,1748,c6f3 f1f3 b7f3 g1g2 e3e1 d3f1 e1f1
8tmlF,6k1/2p2ppp/p2pr3/Pp6/2nP4/P3B2q/5P1P/2R1RQK1 b - - 5 24,e6g6,4,1366,e6g6 e3g5 g6g5 g1h1 h3f3 f1g2 f3g2
p7frG,7r/p2k1pp1/Q7/2p4p/2N1p3/1P2P1q1/PB2K1Pb/2R5 b - - 2 27,g3g2,4,2006,g3g2 e2d1 g2f1 d1d2 f1d3 d2e1 h2g3
45Nby,6rk/7q/P3Q3/8/3PpP2/8/5P2/R1R2K2 b - - 2 40,h7h1,4,1234,h7h1 f1e2 h1f3 e2d2 f3d3 d2e1 g8g1
iM12r,2r3k1/4b1p1/1p2p1P1/4B2R/3pq3/8/PP3p2/K2Q4 w - - 0 32,h5h8,4,1746,h5h8 g8h8 d1h5 h8g8 h5h7 g8f8 h7h8
3XjZX,6k1/R4p1p/5Pp1/2br2r1/8/8/7P/2R4K w - - 0 44,a7a8,4,1709,a7a8 c5f8 a8f8 g8f8 c1c8 d5d8 c8d8
eBIDP,6r1/8/1k1NQ3/p1qPp3/2p1P3/P7/1PP3r1/3K1RR1 b - - 1 30,c5d4,4,1819,c5d4 d1c1 d4d2 c1b1 d2c2 b1a1 c2b2
4aFgm,r3r3/1p3p1k/p1p2Pp1/3p1qQp/1P6/P6R/5PPP/5RK1 w - - 1 27,h3h5,4,1742,h3h5 h7g8 h5h8 g8h8 g5h6 h8g8 h6g7
zMYo9,5rk1/4q1p1/p3ppB1/8/3P4/b7/5PPP/1r1Q1RK1 w - - 0 22,d1h5,4,1489,d1h5 b1f1 g1f1 f8b8 h5h7 g8f8 h7h8
ItRIK,2kr1r2/ppp3pp/2n1pq2/8/8/2Q5/PPP2PPP/RNB2RK1 b - - 2 16,f6f2,4,1387,f6f2 f1f2 d8d1 c3e1 d1e1 f2f1 e1f1
ia9J6,5r1k/7p/p2Q2pP/4p3/4Brq1/8/PPP5/1K1R4 w - - 1 28,d6e5,4,1786,d6e5 f4f6 e5f6 f8f6 d1d8 f6f8 d8f8
dAJr0,r4nk1/pp3ppp/2p3n1/3prQ2/3q4/P4RNP/2P3P1/5R1K w - - 0 25,f5f7,4,848,f5f7 g8h8 f7f8 g6f8 f3f8 a8f8 f1f8
Oxoyu,r1bq2k1/bpp3pp/p1np3r/3N1n2/2P1N3/3P2P1/PP4BP/1RBQ1R1K b - - 2 15,f5g3,4,1942,f5g3 e4g3 h6h2 h1h2 d8h4 g2h3 h4h3
cuFh1,5R2/2q3pk/p1p1Q1p1/7n/4P3/2N5/PP1r2Pb/4R2K b - - 0 25,h5g3,4,1738,h5g3 h1h2 g3f1 h2g1 c7h2 g1f1 h2g2
3pUgg,4r1k1/p1Q2p2/7q/8/2P5/3R4/Pb2BPPP/4K2R b K - 0 24,h6c1,4,1567,h6c1 d3d1 b2c3 e1f1 c1d1 e2d1 e8e1
yUyt1,2r2k2/pp3p2/1n1b4/2p2pBp/2Pp4/3P4/1P2Q3/qBK5 w - - 0 32,g5h6,4,1256,g5h6 f8g8 e2g2 d6g3 g2g3 g8h7 g3g7
g1klr,5r2/7k/1Q1Nb2b/p1p1p2p/P5p1/2P3P1/1P3qBP/R6K b - - 0 32,f2g2,4,1807,f2g2 h1g2 e6d5 d6e4 d5e4 g2g1 h6e3
u9cep,7r/1p2kpp1/p3p3/3p2NP/2n2Q2/3qP3/P6R/4K3 w - - 6 31,f4c7,4,2123,f4c7 e7e8 c7f7 e8d8 g5e6 d8c8 f7c7
mGO6j,3r1r2/4Q3/p5pk/2p2bR1/1p5p/P4q2/1PP2P2/1K4R1 w - - 3 33,g5g6,4,2072,g5g6 f5g6 e7g5 h6h7 g5g6 h7h8 g6h6
V6gPP,2r3k1/1b4pp/p3pb2/3qNp1Q/n2P4/3B2R1/6PP/B1rR2K1 w - - 2 28,h5f7,4,1620,h5f7 g8h8 e5g6 h7g6 g3h3 f6h4 h3h4
FwRzV,1q6/p5bp/6k1/3P1p2/2rp3P/5B2/3Q1PP1/6K1 w - - 0 38,f3h5,4,2471,f3h5 g6f6 d2g5 f6e5 g5e7 e5d5 h5f3
H5LFr,r1b2rk1/pp3ppp/2n4q/3p2N1/8/2PB4/P1Q2PPP/R3R1K1 w - - 2 19,d3h7,4,1100,d3h7 g8h8 g5f7 f8f7 e1e8 f7f8 e8f8
NWTDP,3r1q1k/R6p/5b2/3bp3/2PnPp2/5P2/6QP/6RK w - - 0 34,a7h7,4,2101,a7h7 h8h7 g2g6 h7h8 g6h5 f8h6 h5h6
Zj61b,r7/pp4Q1/1k3p2/8/5P1r/2PpP2p/PP2q3/6RK w - - 1 43,g7f6,4,2008,g7f6 b6a5 g1g5 b7b5 b2b4 a5a4 f6a6
4DSbz,2r1r1k1/1p3p1p/p5pR/2q3P1/2n1Bp2/PPQ2P2/6K1/7R w - - 0 32,c3h8,4,1947,c3h8 g8h8 h6h7 h8g8 h7h8 g8g7 h1h7
yBGFe,r2r3q/1Q2n1k1/pp2p1p1/5pB1/3P1n2/P7/1P3PPP/1B1R1RK1 b - - 0 26,f4e2,4,1423,f4e2 g1h1 h8h2 h1h2 d8h8 g5h6 h8h6
uxIbI,2Qbk3/p4pp1/3p4/4p3/4P3/5P2/P1P1q3/5bQK b - - 5 35,e2f3,4,2200,e2f3 h1h2 f3h5 h2g3 h5h4 g3f3 h4f4
3OwAN,3rr1k1/1p3p1R/p1p3p1/4p3/7Q/1PPq4/1P1B1PPP/6K1 w - - 4 31,h7h8,4,2483,h7h8 g8g7 d2h6 g7h8 h4f6 h8h7 f6g7
iVbGM,5rk1/p1Q2ppp/4p3/8/8/P1R5/1P1rq1PP/5R1K w - - 1 26,c7f7,4,1396,c7f7 f8f7 c3c8 d2d8 c8d8 f7f8 f1f8
qBDvT,r1b1k2r/1p2ppbp/pB2n1p1/1q1N4/6P1/5N2/PPPR1P1P/2KR4 w kq - 7 18,d5c7,4,1854,d5c7 e8f8 d2d8 e6d8 d1d8 b5e8 d8e8
w17mH,6rk/1P4r1/3p4/3Qpq2/7p/2N2pnP/P2B1R1K/6R1 b - - 0 44,g3f1,4,1742,g3f1 f2f1 g7g2 g1g2 g8g2 h2h1 f5h3
cobp0,3r1rk1/pp5p/6p1/4p1Q1/8/4R1N1/PPP2qPP/6RK b - - 2 25,f2g1,4,1327,f2g1 h1g1 d8d1 e3e1 d1e1 g3f1 e1f1
wLiIN,8/5Q2/1q2p1p1/1pb1P1Pk/1p2b3/5N2/PP3PKP/8 w - - 1 39,f7h7,4,2394,f7h7 h5g4 h2h3 g4f4 h7h4 f4f5 h4g4
Aq8Nu,r3k2r/ppp4p/5qp1/2b1pnB1/2B3Q1/2PP4/PP4PP/RN3R1K b kq - 4 13,f5g3,4,1748,f5g3 h2g3 f6f1 h1h2 f1g1 h2h3 g1h1
WyWLT,3r1r1k/p5pp/1pp5/4P3/2Q1R3/P7/1PP2qPP/6RK b - - 8 24,f2g1,4,1535,f2g1 h1g1 d8d1 e4e1 d1e1 c4f1 e1f1
wbIo4,3b2k1/p2P1pp1/6p1/2p5/2N3Pq/5Q1P/PPP5/2K5 b - - 0 31,h4e1,4,1291,h4e1 f3d1 d8g5 c4d2 g5d2 c1b1 e1d1
7av0M,8/5kpp/p2Qpp2/3p1b2/3B2P1/2P4P/P1q2P1K/r7 w - - 1 27,d6d7,4,2038,d6d7 f7g6 d7e8 g6g5 d4e3 g5h4 e8h5
BlzRX,3rk3/pp2bR2/2b1P1pQ/8/5n2/1BP4P/PP5N/6K1 b - - 3 33,e7c5,4,2337,e7c5 g1f1 c6b5 c3c4 b5c4 f1e1 f4g2
zk4mS,6k1/pp5p/6p1/3p2r1/2nP4/2P3qP/P3Q1B1/4R1K1 w - - 4 29,e2e8,4,1583,e2e8 g8g7 e1e7 g7h6 e8f8 h6h5 e7h7
BQqqL,r1b4r/2p3k1/pp2p2p/2qpNnP1/8/3B4/PPP3PP/R2Q1R1K b - - 0 22,f5g3,4,1763,f5g3 h2g3 h6g5 d3h7 h8h7 d1h5 h7h5
AGutf,5r1k/p5pp/2QR1q2/8/4P3/2P5/Pr3PPP/5RK1 b - - 0 22,f6f2,4,1318,f6f2 f1f2 b2b1 d6d1 b1d1 f2f1 d1f1
jxKei,2q3k1/1p4p1/1K1Pr2p/7P/pQ6/2P5/PP6/3R4 b - - 9 42,c8c6,4,1271,c8c6 b6a7 c6a6 a7b8 e6e8 b8c7 a6c6
0bFxt,r1r5/ppp2RB1/1bnk4/8/2B1n3/2P5/PP1N2PP/R6K b - - 10 23,e4g3,4,1967,e4g3 h2g3 c8h8 g7h8 a8h8 f7h7 h8h7
HsoDX,rnb2r1k/pp1p3p/2pP4/2P2p2/4p2q/4Pp2/PP2NP2/R1BQ1RKB b - - 1 20,f8g8,4,1224,f8g8 e2g3 g8g3 f2g3 h4g3 h1g2 g3g2
xdwiV,4R3/1p4pk/p1p4p/2P2P2/1PQ3P1/5qBK/7P/4n3 b - - 0 44,f3g2,4,1853,f3g2 h3h4 e1f3 h4h5 g2h3 g3h4 h3h4
4QuNZ,rn4k1/pb1p2pp/1p2pr2/5p1q/P1PP4/R1P3P1/2QNBP1P/4R1K1 b - - 4 17,h5h2,4,1904,h5h2 g1h2 f6h6 e2h5 h6h5 h2g1 h5h1
rc8cA,5rk1/p4r1p/1p6/3NBqb1/P2PP1p1/1Q2P3/1P4PP/R2R2K1 b - - 0 22,f5f2,4,1406,f5f2 g1h1 f2f1 d1f1 f7f1 a1f1 f8f1
hHhAy,6rk/5R2/5R2/pB2p1rP/Pp2P1PK/1P1Pb3/2P5/8 b - - 8 49,g5g4,4,1787,g5g4 h4h3 g4g3 h3h2 e3g1 h2h1 g3h3
r2Cns,1r5k/4p1bp/6p1/3QN3/3P4/8/1p4PP/2q2R1K w - - 5 34,e5f7,4,1533,e5f7 h8g8 f7h6 g8h8 d5g8 b8g8 h6f7
kzaaC,r2qr2k/p4Q2/1p3p2/2pn2P1/5P2/4P3/PP4PB/R5K1 w - - 2 34,g5g6,4,1603,g5g6 e8e7 g6g7 h8h7 g7g8q h7h6 f7g6
ZuJ1U,rr5k/4b1pp/7P/pqn1p1p1/2QpP3/8/1BPP4/2KR3R w - - 0 28,h6g7,4,1606,h6g7 h8g7 h1h7 g7h7 c4f7 h7h8 d1h1
HnQRv,5rk1/3R1ppp/p7/1p6/1P2q3/P7/1Pr2QPP/5RK1 w - - 2 25,f2f7,4,1379,f2f7 f8f7 d7d8 e4e8 d8e8 f7f8 f1f8
2QDgA,r4rk1/2p5/1p2b2p/3N2pq/3P3n/P1N1PP2/1P2BP1K/2RQ3R b - - 2 25,h4f3,4,1891,h4f3 h2g2 h5g4 g2f1 g4h3 h1h3 e6h3
wsaeF,2kr4/1p3p1r/pb2pN2/4N3/1P1p1n2/P7/R1P2PPP/5RK1 b - - 1 22,f4e2,4,1361,f4e2 g1h1 h7h2 h1h2 d8h8 f6h5 h8h5
w3uaz,rnbq1r1k/pp2b1p1/4p3/2ppP1P1/3P4/2N5/PPP2PP1/R2QK3 w Q - 0 14,d1h5,4,1150,d1h5 h8g8 g5g6 f8f5 h5h7 g8f8 h7h8
vuCxL,6rk/1p5p/r6q/pN2P3/P1P1Pp2/5BnP/3Q1R1K/6R1 b - - 0 29,g3f1,4,2026,g3f1 g1f1 h6h3 h2h3 a6h6 f3h5 h6h5
GQDi0,3r1r2/1p1k3p/pPb1p1q1/2P1R1B1/3P1Q2/7P/5PP1/6K1 w - - 1 40,e5d5,4,2325,e5d5 e6d5 f4c7 d7e6 c7e7 e6f5 e7e5
SKefP,8/p2k4/b2Pp3/2P4r/1P6/6pP/P1B1n1P1/R3R2K b - - 2 32,h5h3,4,1647,h5h3 g2h3 a6b7 c5c6 b7c6 c2e4 c6e4
cBI31,r7/6pp/2R5/3pPk2/5P2/p5PP/3K4/8 w - - 0 31,d2e3,4,1981,d2e3 h7h5 e3f3 a3a2 g3g4 h5g4 h3g4
8tSav,5rk1/pp1b4/4pq2/7Q/P2PP3/R7/2r2BPP/5RK1 b - - 0 29,f6f2,4,1542,f6f2 f1f2 c2c1 h5d1 c1d1 f2f1 d1f1
H34uv,1r3bnr/p1p3pp/4Pp2/7k/2B2BbN/2q1PQP1/P2NKP1P/7R w - - 4 17,f3g4,4,2211,f3g4 h5g4 h2h3 g4h5 g3g4 h5h4 d2f3
MHuaZ,5r1k/p1n3pP/1p1Np1r1/2n1P3/3R4/8/PP6/2K4R w - - 5 27,d6f7,4,828,d6f7 f8f7 d4d8 c7e8 d8e8 f7f8 e8f8
COajb,8/p1Bk1r2/2p5/3p1p2/P2Pq3/2P3Q1/6P1/6K1 w - - 3 39,g3d6,4,1391,g3d6 d7c8 d6d8 c8b7 d8b8 b7a6 b8c8
uxoxx,5R2/4P2p/8/1bB1k1pP/5pP1/1B3Pn1/P5K1/4r3 b - - 0 39,b5f1,4,1683,b5f1 g2h2 e1e2 c5f2 e2f2 h2g1 f2g2
dQ1yL,2r4k/1b3p2/p3pPrN/6p1/3p4/1P1B3R/2Pq2PP/4R2K w - - 0 30,h6f5,4,2049,h6f5 g6h6 h3h6 h8g8 f5e7 g8f8 h6h8
2ay1T,7k/3r1p1p/2Q2b2/2B2p2/1p5p/1B3P2/PPP5/2K5 b - - 0 30,f6g5,4,1213,f6g5 f3f4 g5f4 c5e3 f4e3 c1b1 d7d1
CSVlh,2r2r1k/p2Q4/1p5P/8/3PB3/2P1q3/PPK3P1/R6R b - - 0 25,f8f2,4,2158,f8f2 c2b3 f2b2 b3b2 e3c3 b2b1 c3b4
HGQUR,r3k2N/pppqn1pp/8/2Pb4/P1B5/1QP1b3/1P4PP/R4R1K b q - 4 21,d5g2,4,1701,d5g2 h1g2 d7g4 g2h1 g4e4 f1f3 e4f3
6yRIc,2r3k1/pp2ppbp/3p2pB/3R4/8/5P1Q/P1r2RPP/7K b - - 0 20,c2c1,4,919,c2c1 h6c1 c8c1 d5d1 c1d1 f2f1 d1f1
G4FnT,1r6/kp1q3r/1p1p4/P2N2pp/2PbPp2/3P1P2/4KP1P/1R5R w - - 0 29,a5b6,4,1243,a5b6 a7a6 b1a1 d4a1 h1a1 d7a4 a1a4
vW0xe,7k/1p4pp/p1nbQ3/2p1q3/P1B1P3/2PPp1N1/1P4PP/5K2 b - - 0 24,e5f4,4,1611,e5f4 f1g1 f4f2 g1h1 f2e1 g3f1 e1f1
6TFPU,5r2/1R3pp1/r1p4p/4p3/P1k1P3/5P1P/5P2/R5K1 w - - 0 29,a1c1,4,2546,a1c1 c4d3 b7d7 d3e2 c1c3 c6c5 c3e3
Gw9BS,5rk1/Q2R2p1/1p2pq1p/8/8/2r1P3/P4PPP/5RK1 b - - 0 24,f6f2,4,1121,f6f2 f1f2 c3c1 d7d1 c1d1 f2f1 d1f1
6koTB,rn2k2r/ppq3p1/2pbpp2/8/3P2B1/P1N1B3/1PPQ1PP1/R4RK1 b kq - 0 16,d6h2,4,1535,d6h2 g1h1 h2g1 g4h5 h8h5 h1g1 c7h2
BMAIb,4rr2/p1p2p1k/1p1ppQpp/3P1q2/2P2P2/P6R/1P6/K5R1 w - - 5 25,h3h6,4,1451,h3h6 h7h6 g1h1 f5h5 h1h5 h6h5 f6g5
RNr4h,4kb2/8/7p/2r5/3Q2q1/4PpP1/3N1P1K/5R2 b - - 8 42,c5h5,4,1710,c5h5 h2g1 h5h1 g1h1 g4h3 h1g1 h3g2
HK7Wg,4r1k1/1p1R2pp/p2N1b2/8/4r3/8/PPP2PPP/2K4R b - - 3 20,f6g5,4,1708,f6g5 f2f4 g5f4 c1b1 e4e1 h1e1 e8e1
u0hjv,5rk1/5ppp/p7/8/8/1P3Q1P/r3q1P1/2R2R1K w - - 0 28,f3f7,4,1111,f3f7 f8f7 c1c8 e2e8 c8e8 f7f8 f1f8
QVxoK,5r1k/5p1P/4pNP1/4P3/3p4/4Q3/1PK5/7q w - - 0 39,g6g7,4,1446,g6g7 h8g7 e3g5 g7h8 g5g8 f8g8 h7g8q
Wj7cB,8/5kpp/2Q2p2/2Pp4/pP6/P4PPK/4q2P/8 b - - 2 41,e2f1,4,2146,e2f1 h3h4 g7g5 h4g4 h7h5 g4h5 f1h3
XL6vW,r7/1pp1qp1k/3p1p1p/p3pP1Q/P3PPR1/r2P3P/3K4/3R4 w - - 2 28,h5h6,4,2220,h5h6 h7h6 g4h4 h6g7 d1g1 g7f8 h4h8
srQfR,r1b5/p5Q1/1pnk3p/2qpp1p1/2p5/4N1P1/P1B3PP/5RK1 w - - 1 29,f1f6,4,1950,f1f6 c8e6 f6e6 d6e6 c2f5 e6d6 g7d7
zc2hM,r2q1b1k/3n1Bp1/2p2pQp/pp6/3P1B2/P6P/1PP2PP1/6K1 w - - 3 24,f4h6,4,1369,f4h6 f6f5 h6g7 f8g7 g6h5 g7h6 h5h6
zicHu,2b2rk1/2q2r2/p2pQ3/1ppPp3/8/2P1R2P/PP3PP1/3R2K1 w - - 5 29,e3g3,4,1584,e3g3 g8h7 e6g6 h7h8 g6h6 f7h7 h6f8
y7IOM,8/5Qbk/7p/3Pp1p1/3p2P1/5P1P/5q2/5B1K w - - 1 51,f1d3,4,1367,f1d3 e5e4 d3e4 h7h8 f7e8 g7f8 e8f8
rzANl,r2q1k2/1pp5/3p2Q1/4b3/2P5/1p1P4/1P6/2KR2R1 b - - 0 24,e5f4,4,1889,e5f4 c1b1 a8a1 b1a1 d8a8 a1b1 a8a2
3dyFQ,3q4/1k2b1Q1/p3p3/1p1bP3/3K4/3P4/PP6/2R3R1 b - - 0 28,d8b6,4,2395,d8b6 d4c3 b6c5 c3d2 c5f2 d2d1 d5f3
S3sSO,4rk2/p5R1/1p2p3/3pBp1p/8/1P4RP/5qPK/2r5 w - - 0 33,g7g8,4,2169,g7g8 f8e7 g3g7 e7d8 e5f6 d8c8 g8e8
QHrtR,4r1k1/5ppp/p1R1r3/3p4/QP1q4/P6P/5PP1/2R3K1 b - - 0 23,e6e1,4,1516,e6e1 c1e1 e8e1 g1h2 d4f4 g2g3 f4f2
ULmka,8/1bq2p1p/6pk/2p3r1/P1P5/1PQPR2P/5PP1/4R1K1 b - - 3 32,g5g2,4,2262,g5g2 g1f1 g2f2 f1f2 c7h2 f2f1 h2g2
JhhhJ,7r/p6k/4QPp1/3p4/2pP2P1/2P4P/rq6/5RK1 w - - 1 38,e6d7,4,2557,e6d7 h7h6 g4g5 h6g5 d7g4 g5h6 g4h4
R1b8r,r1bk1b1r/pp1p2pP/1q1Pp3/6q1/8/8/P3B1PP/2B1K2R w K - 0 19,c1g5,4,1143,c1g5 f8e7 g5e7 d8e8 e2h5 g7g6 h5g6
rS02C,r2q1rk1/1p2b1p1/p1p4p/2NbP3/3n1N2/P2Bp3/1PQ3PP/R4R1K w - - 0 25,d3h7,4,1599,d3h7 g8h8 f4g6 h8h7 g6f8 h7h8 c2h7
OD6a6,5r2/pq5k/1p2p3/2p3Q1/4Pr2/1P4n1/PB3PK1/5R2 w - - 0 31,f1h1,4,2566,f1h1 g3h1 g5h5 h7g8 h5g6 b7g7 g6g7
l2oNv,6r1/7p/p3R3/1bR2p1k/8/5P1P/6PK/5q2 w - - 8 40,c5f5,4,1274,c5f5 g8g5 g2g4 h5h4 e6h6 g5h5 f5h5
oAupv,r7/pb3pk1/2p3p1/2qn2Q1/3Nr1P1/1B6/P1P5/K6R w - - 2 29,d4f5,4,2063,d4f5 g7g8 h1h8 g8h8 g5h6 h8g8 h6g7
oHR9u,7k/5R2/3N2Qp/2bP4/6b1/r3P3/6PP/6K1 b - - 0 33,c5e3,4,1471,c5e3 g1h1 a3a1 g6b1 a1b1 f7f1 b1f1
wxjfm,2k3r1/5p2/p7/Q2Nqp2/2Pp3P/1P2pbP1/P4P2/2R1RK2 b - - 1 35,e3e2,4,1453,e3e2 e1e2 e5e2 f1g1 g8g3 f2g3 e2g2
eKlcb,2N2r2/p2p1kp1/1ppq2p1/5pQ1/2Pn4/3P4/PP3PPP/R4RK1 b - - 0 19,d4e2,4,1504,d4e2 g1h1 d6h2 h1h2 f8h8 g5h4 h8h4
6bPad,6k1/1b4pn/1b2p3/4P1qP/2PP2Q1/8/p5PK/5R2 w - - 5 45,g4e6,4,1843,g4e6 g8h8 e6e8 h7f8 f1f8 h8h7 f8h8
cuPFp,rn4k1/pp2pp1p/4P1p1/q7/2p5/2b1B1P1/PP4BP/R2r1R1K w - - 0 19,e6f7,4,1635,e6f7 g8f8 e3h6 c3g7 h6g7 f8g7 f7f8q
BPlZr,4q3/5k2/2p5/5pQ1/1BpPr1p1/P1P5/2b2PPP/2R1NK2 b - - 4 30,e4e1,4,1559,e4e1 c1e1 c2d3 e1e2 e8e2 f1g1 e2d1
5x9z6,3q4/6kp/p3Q1p1/1p1r2b1/8/3Bp3/P5PP/5R1K w - - 0 30,f1f7,4,1880,f1f7 g7h8 f7h7 h8h7 e6g6 h7h8 g6h7
K45Bg,6rk/2R1Q1pp/5p2/2p5/2p1qP2/2B3P1/2bP3P/6K1 w - - 0 35,e7g7,4,1675,e7g7 g8g7 c7c8 e4e8 c8e8 g7g8 c3f6
E1AXy,1r6/R3pp1Q/3pk1p1/8/2PpP1q1/3P2P1/2P2RK1/1r6 b - - 9 35,b1g1,4,1623,b1g1 g2g1 g4g3 g1f1 b8b1 f1e2 g3e3
FrBCV,5rk1/pp3p2/5qpQ/3Pp1Nb/1P1pPn1P/P2P2K1/6B1/R6R b - - 4 25,f4e2,4,1517,f4e2 g3h3 h5g4 h3g4 f6f4 g4h3 f4g3
MFs4A,r3n1k1/1bppq1p1/1pn2rP1/4p3/4P3/P2P4/3Q4/RN2KBNR w KQ - 1 18,h1h8,4,1668,h1h8 g8h8 d2h2 h8g8 h2h7 g8f8 h7h8
gwP2p,r2k3N/p2n1pp1/2p1b2p/1pb2p1q/6n1/3B3P/PPPBN1P1/R3QR1K b - - 0 21,h5h3,4,1976,h5h3 g2h3 e6d5 d3e4 d5e4 f1f3 e4f3
j7TNh,r4r2/1pp1Nqpk/6n1/p5B1/8/3Q4/PPP2n2/2KR4 w - - 0 23,d1h1,4,1602,d1h1 f2h1 d3h3 g6h4 h3h4 f7h5 h4h5
51qnV,r1b2rk1/pp3ppp/1n6/1q6/8/2P1BQ2/P5PP/3R1RK1 w - - 0 20,f3f7,4,1424,f3f7 f8f7 d1d8 b5e8 d8e8 f7f8 f1f8
yKWNO,2r4k/p4R2/1p2p3/6Q1/1P2b2N/P3P3/3q2PP/6K1 b - - 0 29,c8c1,4,1691,c8c1 f7f1 c1f1 g1f1 e4d3 f1g1 d2e1
L6uwW,6rk/pp2qp2/2p3rP/3p1Q2/3PnP2/3B2P1/PP3PK1/R6R b - - 0 29,g6g3,4,1752,g6g3 f2g3 g8g3 g2f1 e4d2 f1f2 e7e3
985qx,5k1r/1p2npbp/pN3np1/8/1P6/2P1P3/q1b2PPP/3QKBNR w K - 0 16,d1d8,4,1158,d1d8 f6e8 b6d7 f8g8 d8e8 g7f8 e8f8
66Vzk,5rk1/5ppp/p2p4/3Pb3/1p5q/5QNP/Pr4P1/2R2R1K w - - 0 25,f3f7,4,1498,f3f7 f8f7 c1c8 h4d8 c8d8 f7f8 f1f8
YAJFo,5rk1/1p3ppp/p3r3/3RPQ2/P7/2q4P/6P1/5R1K w - - 0 33,f5f7,4,1139,f5f7 f8f7 d5d8 e6e8 d8e8 f7f8 f1f8
CBkpB,3k2r1/1p1n2r1/p1pQ4/4NP2/6b1/P2P3p/2Pq3B/2R3RK b - - 8 36,g4f3,4,1291,g4f3 e5f3 g7g1 c1g1 g8g1 f3g1 d2g2
EGaOF,r7/p3Q1RB/k1p5/q2p4/2nP4/Pp2P2P/1P2NP2/1K6 b - - 0 30,a5e1,4,1429,a5e1 e2c1 c4d2 b1a1 e1c1 h7b1 c1b1
6oQb3,6k1/p4pp1/8/1p3Pp1/7P/5N2/r3r3/3R3K w - - 0 32,d1d8,4,1151,d1d8 e2e8 d8e8 g8h7 f3g5 h7h6 e8h8
Zzz24,6k1/5qpp/3Q4/2B1p3/4P3/3P3P/r1P3P1/6K1 b - - 0 27,a2a1,4,1830,a2a1 g1h2 f7f4 g2g3 f4d2 c5f2 d2f2
QO1bn,5rk1/1N1R3p/p5p1/1p2Q3/2rP4/8/Pq3PPP/5RK1 b - - 5 36,b2f2,4,1388,b2f2 f1f2 c4c1 e5e1 c1e1 f2f1 f8f1
cQTy2,3r3r/kpp3bp/3p4/3Rn3/4B2q/2P4P/PP2Q3/2K1R3 w - - 0 25,d5a5,4,1748,d5a5 a7b8 a5a8 b8a8 e2a6 a8b8 a6b7
uzqSi,2N5/2p3bk/1p4rr/p1pPp3/P1P1Pppq/5P2/2BRQNP1/3R2K1 b - - 0 33,h4h2,4,2162,h4h2 g1f1 h2h1 f2h1 h6h1 f1f2 g4g3
